,phone
1,+139361631
2,+183187720
3,+447624800100
4,+44 7624 800100
5,+16777216
6,+17133664426
7,+27 11 026 7323
8,+27 21 674 5830
9,+1 669 900 9128
10,+1 646 558 8656
11,+13462487799
12,+12532158782
13,+16465588656
14,+13017158592
15,+13126266799
16,+1 301 715 8592
17,+1 312 626 6799
18,+1 346 248 7799
19,+1 253 215 8782
20,+16699009128
21,+316 37431190
22,+1 888 415
23,+1 817 920
24,+31 202 414 834
25,+18003044473
26,+31202414834
27,+44 20 7255 0717
28,+18003551185
29,+2325900175
30,+91 120 4345733
31,+65 3157 1399
32,+18175763656
33,+18179451722
34,+223 229 67 07
35,+223 229 44 45
36,+41 22 372 61 62
37,+61 407 242 669
38,+18007375250
39,+18446632255
40,+12125829100
41,+18885232769
42,+353 83 4339341
43,+353 86 3526467
44,+353 83 4349572
45,+44 7925 7211 35
46,+39 389 158 8242
47,+447787055198
48,+86400000
49,+14805624825
50,+34 963 332 802
51,+1 855 438 7580
52,+1 301 315 9631
53,+447545468483
54,+14019215443
55,+18774387369
56,+14845806661
57,+81 3 3517 2795
58,+1 732 321 8100
59,+1 212 943 2290
60,+852 3520 6000
61,+852 2168 0882
62,+1 737 218 6046
63,+31 30 303 33 40
64,+1535694389
65,+1518500249
66,+18889935273
67,+13014434513
68,+13014964763
69,+18663593226
70,+13014965248
71,+18009949662
72,+13014438431
73,+12406450228
74,+18004480440
75,+18004226237
76,+18662324528
77,+18882052311
78,+1774487848
79,+18886746464
80,+18776432644
81,+13015652966
82,+18004111222
83,+18004384380
84,+8774487848
85,+1866616464
86,+18002224225
87,+18002222225
88,+18886446226
89,+18883206942
90,+12022230344
91,+18003529424
92,+18002411055
93,+18006242663
94,+18772264267
95,+18662844107
96,+18664111010
97,+13015928573
98,+12024664315
99,+18008608747
100,+18005052742
101,+18882205446
102,+18003702943
103,+13014027364
104,+18002411044
105,+18664643615
106,+13014954484
107,+39 049 8283
108,+91 80 23537776
109,+44 203 608 7514
110,+1 347 778 0859
111,+525553509083
112,+18778331058
113,+526424390948
114,+39073274076
115,+4570606003
116,+46731533156
117,+441435512460
118,+38943446447
119,+18778507355
120,+88638671369
121,+39067197232
122,+390721404074
123,+524421257127
124,+79279814721
125,+522223800339
126,+4578766667
127,+201002671671
128,+390141943753
129,+97714650054
130,+78005551022
131,+12253307766
132,+527262515539
133,+448008085704
134,+380674299005
135,+19704842023
136,+17274740706
137,+18775088151
138,+19189263262
139,+39832841456
140,+573183309457
141,+390395969335
142,+390984964720
143,+74957400976
144,+45 78 76 66 67
145,+45 70 60 60 03
146,+44 14 3551 2460
147,+44 80 0808 5704
148,+8007375250
149,+19494037429
150,+39 0510 920304
151,+43 12535501
152,+41 445299272
153,+49 6950502596
154,+33 6 67 89 17 18
155,+33 6 42 61 90 90
156,+33 1 7037 9729
157,+33 1 7095 0103
158,+33 1 7037 2246
