",phone"
1,+1 305 477 4711
2,+443303630006
3,+1 877 666 0712
4,+39 0376 380562
5,+39 0376 346301
6,+32 2775 8110
7,+61262559700
8,+61 2 6255 9700
9,+18666331116
10,+441270507800
11,+45 3955 8000
12,+44 1722 417000
13,+1 714 891 3660
14,+13607386467
15,+18663808455
16,+31202414834
17,+18003044473
18,+31 202 414 834
19,+44 20 7255 0717
20,+18003551185
21,+44 203 948 6501
22,+852 3018 8279
23,+41 61 280 9100
24,+49777192825200
25,+49777192825201
26,+972 9 8657670
27,+972 9 8657621
28,+64 4 237 9230
29,+33 4 66 74 66 00
30,+44163540528
31,+27317195700
32,+27800029999
33,+44 1373 852 000
34,+30 210 6644093
35,+30 210 6641420
36,+61 2 4473 5773
37,+61 427 295 606
38,+91 177 286 0630
39,+91 120 403 6601
40,+91 120 403 6600
41,+44 1603 726660
42,+27 63 990 7941
43,+1 831 649 3800
44,+61 3 9098 8758
45,+16152564248
46,+47 61 15 36 00
47,+4741100055
48,+61 2 98290400
49,+46 8 650 08 88
50,+47 982 69 680
51,+47 90 15 48 38
52,+47 99 62 12 13
53,+47 99 15 59 20
54,+47 91 61 07 98
55,+47 90 70 53 99
56,+47 911 49 001
57,+47 991 11 916
58,+49 261 400
59,+17033903301
60,+1 703 390
61,+49301234567
62,+18175763656
63,+39 0117072352
64,+39 011 7072352
65,+1 301 315 9631
66,+447545468483
67,+44 07828 172607
68,+61290539330
69,+1 720 696 9830
70,+443301585268
71,+61 290 539 330
72,+17206969830
73,+0000 2021
74,+44 800 029 3289
75,+0000 2010
76,+27826828816
77,+27824432297
78,+298 63 63 63
79,+351 304 505 505
80,+351 304 505 506
81,+32 2 775 81 16
82,+32 2 775 8114
83,+32 473 13 33 30
84,+32 2 775 8125
85,+32 2 775 8135
86,+32 2 775 8123
87,+32 473 13 34 92
88,+32 2 775 8119
89,+32 2 775 8122
90,+32 2 775 8113
91,+32 2 775 8129
92,+32 2 775 81 11
93,+32 2 775 8121
94,+32 2 775 8124
95,+3227758133
96,+32 2 775 8130
97,+32 2 775 8110
98,+32 2 775 9377
99,+32 2 775 81 10
100,+44 20 8987 5966
101,+32 2 642 00 56
102,+32 2 64 20 04
103,+33 2 40 92 01 35
104,+33 2 40 92 39 19
105,+65 66 36 54 59
106,+49 30 2091370
107,+65 91124058
108,+81 3 3519 4620
109,+1 703 413 3565
110,+48 22 584 7220
111,+44 0 207 979 8075
112,+34 610 044 570
113,+34 639 432 788
114,+34 942 745 412
115,+33157778000
116,+91 120 40 20 555
117,+62 21 2977
118,+44 1403 218588
119,+44 114 222 2000
120,+44 1234 123459
121,+44 1234 123454
122,+44 1234 123452
123,+44 1234 123451
124,+44 1234 123458
125,+44 1234 123453
126,+123 456 7890
127,+1 802 785 4260
128,+91 981 023 0884
129,+1000273693
130,+1000310869
131,+1000310864
132,+1000373065
133,+1000305149
134,+34 963 332 802
135,+14019215443
136,+14845806661
137,+18774387369
138,+44 20 7975 3131
139,+33 1 73 15 11 24
140,+352 26 29 01 31
141,+44 20 7975 3232
142,+49 69 710000 113
143,+49 69 710000 0
144,+33 1 73 15 11 00
145,+352 26 29 01
146,+1 212 943 2290
147,+1 732 321 8100
148,+852 3520 6000
149,+81 3 3517 2795
150,+233302767021
151,+233 540113508
152,+233 26 901 2542
153,+233 0 302 251 137
154,+233302940056
155,+233 302 663999
156,+233 30 222 7698
157,+233 540116760
158,+233302940021
159,+233 0 302 251 138
160,+852 2168 0882
161,+917386622889
162,+919000444287
163,+2325900175
164,+1 737 218 6046
165,+31 30 303 33 40
166,+31 88 1976 100
167,+48 22 1004115
168,+41 71 987 11 22
169,+64 21 270 9780
170,+64 4 238 0113
171,+64 4 237 9231
172,+351 212 948 600
173,+351 212 948 700
174,+1 619 691 4111
175,+1 336 747 5000
176,+1 860 654 6000
177,+1 860 353 5805
178,+1 319 295 1000
179,+1 704 423 7000
180,+1 704 423 7002
181,+1 336 744 6973
182,+1 619 691 3030
183,+91 11 4165 3421
184,+91 11 6538 8277
185,+49 89 515 18
186,+917760989500
187,+358 50 537 5640
188,+966542234471
189,+9161790100
190,+49736495570
191,+358505375640
192,+551155555421
193,+441992805200
194,+903122586307
195,+6563314268
196,+4989515180
197,+61262594400
198,+17038273976
199,+27124216200
200,+27 12 674 0215
201,+497313920
202,+97126526666
203,+27 12 421 6200
204,+821096407926
205,+4975459340
206,+497231586780
207,+56227121732
208,+33180829250
209,+27126740215
210,+34910474356
211,+27210012936
212,+49 3375 49720 0
213,+44 1332 742 541
214,+61 2 8015 5595
215,+1 818 998 5289
216,+1 818 989 5010
217,+1 818 887 4800
218,+1 818 709 7054
219,+1 818 734 1787
220,+60 3 2775 9758
221,+44 1373 852000
