",phone"
1,+18179451722
2,+31 30 303 33 40
3,+44 20 7255 0717
4,+1 737 218 6046
5,+31 0303033340
6,+49621338330
7,+49 621 338330
8,+49 621 3383350
9,+1 617 54558 60
10,+49 621 338 33
11,+41 525 33833
12,+49 211 74956
13,+49 621 33833
14,+49 892 15488
15,+30 231 12574
16,+1 617 54558
17,+0034934804410
18,+36 1 883 0301
19,+36 1 883 0456
20,+48 22 270 20 98
21,+34 93 207 25 16
22,+385 1 619 89 99
23,+420 702 147 232
24,+370 5 273 00 51
25,+351 21 934 77 59
26,+90 212 671 29 36
27,+27 62 002 3530
28,+34 93 207 16 11
29,+595991460480
30,+46723294370
31,+385 1 619 89 97
32,+31 88 055 14 00
33,+358 40 631 3553
34,+358504080197
35,+358456578746
36,+358503079992
37,+358504759645
38,+34 932 701 180
39,+34 932 701 620
40,+1 202 707 6237
41,+1 202 707 0115
42,+447624800100
43,+44 7624 800100
44,+43 1 52 152
45,+16503198930
46,+1 650 319 8930
47,+1 617 623 3745
48,+64 9 378 8414
49,+6493788414
50,+18889935273
51,+49 89 540459
52,+39 351 6097868
53,+611300423372
54,+61 429844976
55,+886 2 2757 2166
56,+91 12 44182171
57,+92 21 227 2312
58,+61 8 9320 9820
59,+65 6658 2288
60,+886 2 2652 7256
61,+852 2192 2233
62,+673 2 233 668
63,+1 300 308 688
64,+852 2845 2605
65,+61 2 9006 5563
66,+81 3 5203 4236
67,+61 7 3835 7830
68,+64 9 918 8718
69,+673 2 252 336
70,+92 42 578 6217
71,+64 9 918 8600
72,+84 8 3829 2288
73,+886 2 6616 5998
74,+81 3 5203 3991
75,+66 2614 4523
76,+88 02 8878872
77,+81 3 5203 3065
78,+92 42 578 6219
79,+64 9913 4040
80,+66 2 614 4219
81,+8 13 5203 3265
82,+81 3 5203 3239
83,+673 2 223 685
84,+64 9918 8798
85,+81 3 5203 3565 3222
86,+63 2 581 8200
87,+62 21 524 6622
88,+886 2 2757 1193
89,+886 2 2757 5298
90,+91 22 61640157
91,+82 2 2004 0735
92,+92 21 263 1526
93,+62 21 521 1305
94,+62 21 5291 4567
95,+886 2 2757 5266
96,+88 02 8878850
97,+61 8 8112 8612
98,+66 2614 4559
99,+673 2 241 317
100,+61 2 1300 300 437
101,+62 61 524 6222
102,+82 2318 9105
103,+88 02 8878873
104,+84 8 3520 6160
105,+64 9918 8630
106,+62 21 5291 4901
107,+62 21 2551 477
108,+65 6224 9578
109,+88 02 8878871
110,+66 2 614 4500
111,+82 2 2004 0301
112,+18663333909
113,+6595256
114,+49 421 69663282
115,+33 1 55 06 16 86
116,+4518446
117,+442085818058
118,+447919185095
119,+021152808563
120,+33 4 72 67 02 74
121,+33472670274
122,+38612927960
123,+541146719179
124,+507 3971572
125,+380522561842
126,+386 1 29 27 960
127,+34 934 804 430
128,+48 22 726 70 90
129,+40 7020 0422
130,+45 7020 0422
131,+21671383860
132,+216 71 38 38 60
133,+962 6 568 5755
134,+5255 53983982
135,+525553983982
136,+54 11 4671 9179
137,+34 934 804 422
138,+49 0211 52808563
139,+49 211 522 890 94
140,+34934804430
141,+34 93 480 44 30
142,+39 059 557250
143,+39059557250
144,+39 059 579022
145,+33 01 40 29 93 33
146,+33 01 44 27 03 30
147,+33 01 55 80 79 11
148,+33 6 52 03 13 47
149,+353 1 706 3117
150,+1 703 837
151,+1 703 519 8160
152,+1 703 548 2867
153,+1 214 953 0004
154,+43 664 73131771
155,+1 972 708 7400
156,+183187720
157,+139361631
158,+44 7519 494 891
159,+16777216
160,+49899919500
161,+1 800 745 4355
162,+18007454355
163,+1800454355
164,+61 7 3848 7660
165,+4254181275
166,+9498543744
167,+13473508422
168,+2814068899
169,+5124544197
170,+12456789
171,+9704431493
172,+35312165093
